tokens,ner_tags,sentence_label
"['Lens', ',', 'who', 'have', 'won', 'all', 'their', 'three', 'league', 'matches', 'so', 'far', ',', 'host', 'Montpellier', 'on', 'Wednesday', 'night', '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",1
"['A', 'Czech', 'coach', 'crashed', 'and', 'burst', 'into', 'flames', 'on', 'a', 'southern', 'Austrian', 'motorway', 'early', 'on', 'Saturday', ',', 'killing', 'one', 'person', 'and', 'injuring', '15', ',', 'police', 'said', '.']","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['2.', 'Michelle', 'Freeman', '(', 'Jamaica', ')', '12.91']","[0, 1, 2, 0, 5, 0, 0]",1
"['M.', 'Bevan', 'c', 'Campbell', 'b', 'Brandes', '9']","[1, 2, 0, 1, 0, 1, 0]",1
"['""', 'A', 'preview', 'of', 'the', 'second', 'half', 'of', '1996', 'does', 'not', 'reveal', 'any', 'signs', 'of', 'a', 'significant', 'improvement', 'in', 'market', 'conditions', ',', '""', 'Lenzing', 'said', 'in', 'a', 'statement', 'released', 'ahead', 'of', 'its', 'earnings', 'conference', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['SEATTLE', 'AT', 'BOSTON']","[3, 0, 5]",1
"['Spanish', 'tomato', 'warriors', 'paint', 'the', 'town', 'red', '.']","[7, 0, 0, 0, 0, 0, 0, 0]",1
"['SOCCER', '-', 'FRENCH', 'LEAGUE', 'STANDINGS', '.']","[0, 0, 7, 0, 0, 0]",1
"['Attendance', '22,434', '.']","[0, 0, 0]",4
"['""', 'At', 'the', 'moment', 'we', 'have', 'a', 'preliminary', 'list', 'of', 'less', 'than', '10', 'people', ',', 'but', 'this', 'is', 'just', 'the', 'beginning', ',', '""', 'he', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Bayern', 'Munich', '4', 'Bayer', 'Leverkusen', '2']","[3, 4, 0, 3, 4, 0]",1
"['--', 'Helsinki', 'Newsroom', '+358', '-', '0', '-', '680', '50', '245']","[0, 3, 4, 0, 0, 0, 0, 0, 0, 0]",4
"['Issuer', ':', 'Akron']","[0, 0, 3]",2
"['""', 'I', 'still', 'have', 'my', 'days', 'where', 'I', 'feel', 'great', 'out', 'there', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Expected', 'Sale', 'Date', ':', '08/28/96']","[0, 0, 0, 0, 0]",2
"['Riley', '(', 'Australia', ')', '64', '71', ',', 'Carl', 'Mason', '69', '66', ',', 'Barry', 'Lane']","[1, 0, 5, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2]",1
"['Results', 'of', 'English', 'league', 'soccer']","[0, 0, 7, 0, 0]",1
"['Illawarra', '21', '8', '0', '13', '395', '432', '16']","[3, 0, 0, 0, 0, 0, 0, 0]",1
"['(', 'midday', ')', '(', 'May', '22', ')', '(', 'Jan', '10', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['""', 'The', 'Constitutional', 'Rights', 'Project', '(', 'CRP', ')', 'believes', 'that', 'William', 'Istafanus', ',', 'Elisha', 'Shamay', ',', 'O.K.', 'Likkason', 'and', 'Jerome', 'Egurugbe', 'were', 'arrested', 'because', 'of', 'their', 'role', 'in', 'the', 'ongoing', 'ASUU', '(', 'Academic', 'Staff', 'Union', 'of', 'Universities', ')', 'strike', ',', '""', 'the', 'group', 'said', 'in', 'a', 'statement', '.']","[0, 0, 3, 4, 4, 0, 3, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['A', 'blind', '10-year-old', 'boy', 'from', 'China', 'sneaked', 'over', 'the', 'border', 'into', 'Hong', 'Kong', 'and', 'was', 'arrested', 'as', 'an', 'illegal', 'immigrant', ',', 'Hong', 'Kong', 'police', 'said', 'on', 'Tuesday', '.']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0]",0
"['""', 'The', 'Arabs', 'demand', 'that', 'our', 'Arab', 'leaders', 'undergo', 'a', 'compulsory', 'examination', 'by', 'a', 'team', 'of', 'psychiatrists', 'to', 'see', 'how', 'sound', 'their', 'mental', 'capacities', 'are', ',', '""', 'the', 'editorial', 'said', '.']","[0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['3.', 'Kocinski', '254']","[0, 1, 0]",4
"['After', 'three', 'matches', 'PSV', 'lead', 'the', 'first', 'division', 'with', 'nine', 'points', ',', 'three', 'points', 'clear', 'of', 'fifth-placed', 'Ajax', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",1
"['DUTCH', 'CAPTAIN', 'BLIND', 'ENDS', 'INTERNATIONAL', 'CAREER', '.']","[7, 0, 1, 0, 0, 0, 0]",1
"['LONDON', '1996-08-23']","[5, 0]",0
"['Suwon', '1', '3', '0', '7', '3', '6']","[3, 0, 0, 0, 0, 0, 0]",4
"['Gross', 'foreign', 'debt', '27,535.5', '27,246.5']","[0, 0, 0, 0, 0]",2
"['Sales', '11.38', '11.38', '11.45']","[0, 0, 0, 0]",2
"['Overnight', 'trade', 'at', 'the', 'weekend', 'left', 'a', 'surplus', 'of', '1.2', 'billion', 'kuna', 'on', 'the', 'supply', 'side', 'after', '40', 'million', 'were', 'settled', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['COLOMBO', '1996-08-28']","[5, 0]",0
['10-3-30-0'],[0],4
"['Canada', 'fast-tracks', 'Chinese', 'asylum-seekers', '-', 'report', '.']","[5, 0, 7, 0, 0, 0, 0]",0
"['Chechen', 'rebel', 'spokesman', 'Movladi', 'Udugov', 'confirmed', 'the', 'weapons', 'had', 'been', 'seized', 'but', 'that', 'it', 'was', 'a', 'maverick', 'group', 'of', 'Chechens', '.']","[7, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]",4
"['Workington', '22', '2', '1', '19', '325', '1021', '5']","[3, 0, 0, 0, 0, 0, 0, 0]",4
"['Kate', 'Michelman', ',', 'president', 'of', 'the', 'National', 'Abortion', 'Rights', 'Action', 'League', ',', 'described', 'how', 'she', 'had', 'an', 'abortion', 'at', 'a', 'time', 'when', 'the', 'procedure', 'was', 'illegal', 'after', 'her', 'husband', 'abandoned', 'her', 'with', 'three', 'young', 'children', '.']","[1, 2, 0, 0, 0, 0, 3, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['It', 'could', 'be', 'better', ',', 'or', 'it', 'could', 'be', 'worse', ',', '""', 'Hope', 'added', ',', 'echoing', 'the', 'demand', 'uncertainty', 'across', 'automotive', 'industries', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Chelsea', 'makes', 'political', 'debut', 'on', 'Clinton', 'train', 'trip', '.']","[1, 0, 0, 0, 0, 1, 0, 0, 0]",4
"['Mentmore', 'Abbey', 'said', 'on', 'Tuesday', 'that', 'merger', 'discussions', 'were', 'taking', 'place', 'with', 'the', 'board', 'of', 'British', 'Data', 'Management', ',', 'an', 'information', 'resource', 'management', 'and', 'archive', 'storage', 'company', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['NEW', 'YORK', '59', '73', '.447', '23']","[3, 4, 0, 0, 0, 0]",2
"['-', 'Commem', 'div', '-', '2.00', 'yen']","[0, 0, 0, 0, 0, 0]",2
"['DHAKA', '1996-08-25']","[5, 0]",0
"['He', 'said', 'his', 'farm', ',', 'its', '260', 'workers', 'now', 'readying', 'the', 'fields', 'for', 'winter', 'wheat', 'sowing', ',', 'expected', 'the', 'land', 'to', 'yield', '5.2', 'tonnes', 'per', 'hectare', '(', '2.5', 'acres', ')', 'but', 'ended', 'up', 'with', '3.9', 'tonnes', '--', 'still', 'better', 'than', 'the', 'national', 'average', 'of', '2.11', 'tonnes', 'per', 'hectare', 'this', 'year', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Gothenburg', 'go', 'through', '4-1', 'on', 'aggregate', '.']","[5, 0, 0, 0, 0, 0, 0]",1
"['Best', 'sees', 'Q2', 'loss', 'similar', 'to', 'Q1', 'loss', '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Crohn', ""'s"", 'is', 'an', 'inflammation', 'of', 'the', 'bowel', 'that', 'can', 'sometimes', 'require', 'surgery', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
"['Some', 'human', 'rights', 'groups', 'have', 'criticised', 'the', 'government', ""'s"", 'handling', 'of', 'the', 'situation', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Although', 'officials', 'decline', 'to', 'say', 'just', 'what', 'each', 'day', ""'s"", '""', 'news', '""', 'will', 'be', ',', 'the', 'intent', 'is', 'to', 'put', 'a', 'focus', 'on', 'Clinton', 'himself', 'and', 'not', 'just', 'those', 'attending', 'the', 'party', ""'s"", 'convention', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['St', 'Kilda', '21', '9', '0', '12', '1909', '1958', '97.5', '36']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['AGROTONZ', 'TLUMACOV', '336.47', '336.47', '59440', '19999.777']","[3, 4, 0, 0, 0, 0]",2
"['for', 'Pakistan', 'in', 'England', ""'s"", 'second', 'innings', 'at', 'The', 'Oval', 'on', 'Monday']","[0, 5, 0, 5, 0, 0, 0, 0, 5, 6, 0, 0]",1
"['--', 'Hong', 'Kong', 'Newsroom', '(', '852', ')', '2843', '6368']","[0, 3, 4, 4, 0, 0, 0, 0, 0]",4
"['SRINAGAR', ',', 'India', '1996-08-22']","[5, 0, 5, 0]",0
"['""', 'The', 'Belgian', 'police', 'also', 'informed', 'us', 'that', 'Dutroux', ',', 'together', 'with', 'one', 'other', 'man', ',', 'had', '(', 'also', ')', 'planned', 'the', 'kidnapping', 'of', 'at', 'least', 'one', 'Slovak', 'woman', ',', '""', 'Gajdos', 'said', '.']","[0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0]",4
"['The', '83rd', 'minute', 'shot', ',', 'curling', 'over', 'the', 'defence', 'and', 'dipping', 'in', 'under', 'the', 'bar', 'from', 'the', 'striker', 'dubbed', 'Batigol', 'by', 'adoring', 'Fiorentina', 'fans', ',', 'was', 'just', 'reward', 'for', 'Fiorentina', 'who', 'looked', 'a', 'far', 'more', 'impressive', 'team', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['ATLANTA', '1996-08-28']","[5, 0]",1
"['the', 'other', 'elections', 'will', 'be', 'held', 'on', 'September', '14', ',', '""', 'OSCE', 'spokeswoman', 'Agota', 'Kuperman', 'told', 'reporters', 'in', 'Sarajevo', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 5, 0]",0
"['TONIGHT', '...']","[0, 0]",4
['15-7'],[0],4
"['Maakinen', ""'s"", 'and', 'Mitsubishi', ""'s"", 'positions', 'were', 'strengthened', 'by', 'the', 'late', 'retirement', 'of', 'Spain', ""'s"", 'Carlos', 'Sainz', 'when', 'his', 'Ford', 'gearbox', 'failed', '.']","[1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 0, 0, 3, 0, 0, 0]",1
"['EUROMARK', '(', 'SEP', ')', '96.84', '96.83', '96.83']","[7, 0, 0, 0, 0, 0, 0]",2
"['15-2', '17-14']","[0, 0]",4
"['Swindon', '.']","[3, 0]",4
"['FLORIDA', 'AT', 'ST', 'LOUIS']","[3, 0, 5, 6]",1
"['First', ',', 'Sohail', ',', 'after', 'making', '48', ',', 'was', 'bowled', 'by', 'Croft', 'as', 'he', 'stepped', 'back', 'to', 'try', 'and', 'hit', 'through', 'the', 'off-side', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Attendance', ':', '8,000']","[0, 0, 0]",4
"['Results', 'of', 'South', 'Korean', 'pro-soccer']","[0, 0, 7, 8, 0]",1
"['GOLF', '-', 'BRITISH', 'MASTERS', 'SECOND', 'ROUND', 'SCORES', '.']","[5, 0, 7, 8, 0, 0, 0, 0]",1
"['IRISH', 'TIMES']","[3, 4]",0
"['Bradford', 'finished', 'third', '.']","[3, 0, 0, 0]",1
"['The', 'Italian', 'prime', 'minister', ',', 'in', 'office', 'since', 'May', '18', ',', 'will', 'be', 'the', 'first', 'Western', 'leader', 'to', 'meet', 'Islamist', 'Prime', 'Minister', 'Necmettin', 'Erbakan', 'since', 'he', 'came', 'to', 'power', 'on', 'June', '28', '.']","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Kotlarska', ',', 'who', 'was', '24', 'and', 'had', 'a', 'three-year-old', 'child', ',', 'was', 'Miss', 'Poland', 'in', '1991', 'and', 'went', 'on', 'to', 'a', 'U.S.-based', 'modelling', 'career', 'that', 'included', 'working', 'with', 'Italian', 'designer', 'Gianni', 'Versace', 'and', 'Vogue', 'magazine', ',', 'the', 'Gazeta', 'Wyborcza', 'newspaper', 'said', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 0, 3, 0, 0, 0, 3, 4, 0, 0, 0]",1
"['US', 'investors', 'mull', 'appeal', 'of', 'Lloyd', ""'s"", 'decision', '.']","[5, 0, 0, 0, 0, 3, 4, 0, 0]",2
"['Ajax', ',', 'without', 'injured', 'defenders', 'Marcio', 'Santos', 'and', 'Winston', 'Bogarde', 'and', 'strikers', 'Jari', 'Litmanen', 'and', 'Marc', 'Overmars', ',', 'then', 'stepped', 'up', 'the', 'pace', 'and', 'looked', 'certain', 'to', 'equalise', '.']","[3, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['England', '-', 'Mike', 'Atherton', '(', 'captain', ')', ',', 'Nick', 'Knight', ',', 'Alec', 'Stewart', ',', 'Graham', 'Thorpe', ',', 'Matthew', 'Maynard', ',', 'Graham', 'Lloyd', ',', 'Ronnie', 'Irani', ',', 'Robert', 'Croft', ',', 'Darren', 'Gough', ',', 'Dean', 'Headley', ',', 'Alan', 'Mullally', '.']","[5, 0, 1, 2, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0]",1
"['Chonnam', '0', '2', '1', '4', '5', '2']","[3, 0, 0, 0, 0, 0, 0]",4
"['Malaysia', 'has', 'banned', 'the', 'use', 'of', 'nitrofuran', ',', 'an', 'antibiotic', ',', 'in', 'chicken', 'feed', 'and', 'veterinary', 'applications', 'because', 'it', 'believes', 'the', 'drug', 'could', 'cause', 'cancer', ',', 'the', 'health', 'ministry', 'said', 'on', 'Thursday', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Qualifier', 'vs.', 'Tomas', 'Carbonell', '(', 'Spain', ')']","[0, 0, 1, 2, 0, 5, 0]",1
"['Qualifier', 'vs.', 'Petr', 'Korda', '(', 'Czech', 'Republic', ')']","[0, 0, 1, 2, 0, 5, 6, 0]",1
"['The', 'dollar', 'was', 'also', 'pressured', 'by', 'the', 'mark', ""'s"", 'strength', 'against', 'European', 'currencies', 'amid', 'renewed', 'concerns', 'over', 'Europe', ""'s"", 'economic', 'and', 'monetary', 'union', '(', 'EMU', ')', 'timetable', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0]",2
"['The', 'purchase', 'is', 'not', 'expected', 'to', 'have', 'a', 'material', 'effect', 'o', 'SunGard', ""'s"", 'financial', 'condition', 'or', 'results', 'of', 'operations', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['BEIRUT', '1996-08-23']","[5, 0]",0
"['*', 'H&R', 'Block', 'Inc', 'delays', 'spinoff', 'of', 'its', 'stake', 'in', 'CompuServe', 'Corp', '.']","[0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 3, 4, 0]",2
"['The', 'company', 'has', 'announced', 'plans', 'to', 'take', 'a', 'charge', 'against', 'earnings', 'of', '$', '50', 'million', 'to', '$', '80', 'million', 'to', 'write', 'down', 'the', 'value', 'of', 'assets', 'and', 'inventories', 'and', 'cover', 'severance', 'payments', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Teams', ':']","[0, 0]",4
"['Gross', 'foreign', 'debt', 'May', '$', '27,246.5', 'million', '(', 'April', '$', '28,716.8', 'million', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Business', 'info', 'Europe', '231', '24', '178', '18']","[0, 0, 5, 0, 0, 0, 0]",2
"['We', 'will', 'be', 'guests', 'of', 'the', 'Kennedys', ',', '""', 'said', 'Frank', 'Quilter', ',', 'one', 'of', 'the', 'two', 'who', 'have', 'been', 'invited', 'to', 'Chicago', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",4
"['Sale', 'Amount', ':', '3,390,000']","[0, 0, 0, 0]",2
"['second', 'leg', 'match', 'on', 'Sunday', '.']","[0, 0, 0, 0, 0, 0]",1
['MAARIV'],[3],4
"['Finland', '-', 'Ville', 'Peltonen', '(', '10th', 'minute', ')', ',', 'Juha', 'Ylonen', '(', '10th', ')', ',']","[5, 0, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",1
"['N.', 'Knight', 'c', 'and', 'b', 'Mushtaq', 'Ahmed', '8']","[1, 2, 0, 0, 0, 1, 2, 0]",1
"['Centre', 'Japie', 'Mulder', 'has', 'been', 'ruled', 'out', 'of', 'South', 'Africa', ""'s"", 'team', 'for', 'the', 'second', 'test', 'against', 'New', 'Zealand', 'in', 'Pretoria', 'on', 'Saturday', '.']","[0, 1, 2, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 0, 0, 0]",1
"['Hamburg', '4', '2', '0', '2', '7', '7', '6']","[3, 0, 0, 0, 0, 0, 0, 0]",4
"['Grid', 'positions']","[0, 0]",1
"['The', 'Central', 'African', 'Republic', 'qualified', 'on', 'a', 'walkover', 'to', 'play', 'in', 'group', 'four', 'with', 'Guinea', ',', 'Sierra', 'Leone', 'and', 'Tunisia', '.']","[0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 0, 5, 0]",1
"['7', '-', 'Todd', 'Martin', '(', 'U.S.', ')', 'beat', '9', '-', 'Cedric', 'Pioline', '(', 'France', ')', '2-6', '6-2']","[0, 0, 1, 2, 0, 5, 0, 0, 0, 0, 1, 2, 0, 5, 0, 0, 0]",1
"['Israeli', 'President', 'Ezer', 'Weizman', 'has', 'invited', 'Yasser', 'Arafat', 'to', 'meet', 'him', 'at', 'his', 'private', 'home', ',', 'Israel', ""'s"", 'biggest', 'newspaper', 'said', 'on', 'Sunday', '.']","[7, 0, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]",0
"['MINNESOTA', 'AT', 'TORONTO']","[3, 0, 5]",1
"['1.', 'Svetlana', 'Samokhalova', '(', 'Russia', ')', '28', 'points', '(', 'in', '32']","[0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0]",1
"['**', 'The', 'Dow', 'Jones', 'industrial', 'average', 'closed', 'down', '31.44', 'points', 'at', '5,689.82', 'on', 'Wednesday', ',', 'ending', 'a', 'three-session', 'winning', 'streak', 'as', 'investors', 'took', 'profits', 'and', 'tobacco', 'stocks', 'took', 'a', 'beating', '.']","[0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Doug', 'Flach', '(', 'U.S.', ')', 'beat', 'Gianluca', 'Pozzi', '(', 'Italy', ')', '7-5', '7-6', '(', '7-5', ')', '2-6', '7-6', '(', '8-6', ')']","[1, 2, 0, 5, 0, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['2.', 'Ellina', 'Zvereva', '(', 'Belarus', ')', '65.66']","[0, 1, 2, 0, 5, 0, 0]",1
"['Leeds', 'v', 'Wimbledon']","[3, 0, 3]",1
"['Canberra', '21', '12', '1', '8', '502', '374', '25']","[3, 0, 0, 0, 0, 0, 0, 0]",4
"['Russia', 'and', 'Norway', 'share', 'the', 'island', ""'s"", 'resources', 'under', 'a', 'treaty', 'dating', 'back', 'to', 'the', '1920s', '.']","[5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Philippoussis', 'saved', 'a', 'match', 'point', 'at', '5-6', 'in', 'the', 'third-set', 'tie', 'break', 'before', 'winning', '6-3', '3-6', '7-6', '(', '8-6', ')', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Queens', 'Park', 'Rangers', '3', '2', '1', '0', '5', '3', '7']","[3, 4, 4, 0, 0, 0, 0, 0, 0, 0]",1
"['1860', 'Munich', '3', '1', '0', '2', '3', '5', '3']","[3, 4, 0, 0, 0, 0, 0, 0, 0]",1
"['Fall', 'of', 'wickets', ':', '1-48', '2-92', '3-167', '4-230', '5-240', '6-242', '7-263']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['The', 'unnamed', 'victim', 'died', 'during', 'the', 'night', ',', 'a', 'hospital', 'spokesman', 'said', 'on', 'Saturday', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['When', 'officials', 'and', 'coaching', 'staff', 'tried', 'to', 'intervene', ',', 'Cyprien', 'launched', 'a', 'flying', 'kick', 'at', 'Moura', ',', 'but', 'only', 'succeeded', 'in', 'kneeing', 'St', 'Gallen', 'coach', 'Roger', 'Hegi', 'in', 'the', 'stomach', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 4, 0, 1, 2, 0, 0, 0, 0]",1
"['Standings', '(', 'tabulated', 'under', 'played', ',', 'won', ',', 'drawn', ',', 'lost', ',', 'points']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Mexico', 'same-day', 'Cetes', 'rates', 'rise', 'on', 'nervousness', '.']","[5, 0, 7, 0, 0, 0, 0, 0]",2
"['Universitatea', 'Cluj', '4', '2', '2', '0', '6', '4', '8']","[3, 4, 0, 0, 0, 0, 0, 0, 0]",4
"['Ranked', '18th', 'in', 'the', 'world', ',', 'Stich', 'might', 'have', 'been', 'slipped', 'into', 'that', 'spot', 'ahead', 'of', 'Spain', ""'s"", 'Felix', 'Mantilla', ',', 'who', 'is', '16th', 'but', 'had', 'never', 'been', 'played', 'in', 'the', 'Open', 'and', 'had', 'been', 'left', 'out', 'of', 'the', 'seedings', 'originally', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Sheffield', '21', '10', '0', '11', '574', '696', '20']","[3, 0, 0, 0, 0, 0, 0, 0]",1
"['soccer', 'matches', 'at', 'the', 'weekend', ':']","[0, 0, 0, 0, 0, 0]",1
"['Noisy', 'saw', 'leads', 'Thai', 'police', 'to', 'heroin', 'hideaway', '.']","[0, 0, 0, 7, 0, 0, 0, 0, 0]",4
"['(', 'Slovakia', ')', '6-3', '6-3']","[0, 5, 0, 0, 0]",1
"['Kubo', 'said', 'he', 'would', 'make', 'a', 'decision', 'on', 'the', 'need', 'for', 'a', 'supplementary', 'budget', 'after', 'an', 'announcement', 'in', 'mid-September', 'of', 'Japan', ""'s"", 'gross', 'domestic', 'product', 'for', 'the', 'April-June', 'quarter', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Hostilities', 'between', 'the', 'two', 'warring', 'Iraqi', 'Kurdish', 'factions', 'have', 'continued', 'in', 'the', 'last', 'few', 'days', 'despite', 'a', 'U.S.-brokered', 'ceasefire', 'last', 'Friday', '.']","[0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]",0
"['BONN', '1996-08-28']","[5, 0]",4
"['Now', 'she', 'feels', 'she', 'is', 'in', 'the', 'swing', 'of', 'things', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
